Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,1.694560,1.694560,1.064818,1.185806,1.185806,94692273
2020-10-15,1.177929,1.249225,1.088780,1.125557,1.125557,34933419
2020-10-16,1.124601,1.151711,0.814550,0.817511,0.817511,37020875
2020-10-17,0.817511,0.853755,0.727224,0.808136,0.808136,23630173
2020-10-18,0.809037,0.873260,0.802059,0.871674,0.871674,14376473
2020-10-19,0.871258,0.871258,0.773495,0.800366,0.800366,12526817
2020-10-20,0.799858,0.810011,0.672661,0.676061,0.676061,13390242
2020-10-21,0.676185,0.746559,0.674357,0.701406,0.701406,12835213
2020-10-22,0.701658,0.786858,0.701658,0.749234,0.749234,11632895
2020-10-23,0.749307,0.752612,0.689188,0.728308,0.728308,8050408
2020-10-24,0.728308,0.753952,0.707353,0.739074,0.739074,7326431
2020-10-25,0.739074,0.849568,0.727926,0.846365,0.846365,17602175
2020-10-26,0.846365,0.846365,0.744864,0.779357,0.779357,14529440
2020-10-27,0.779357,0.801901,0.747754,0.757546,0.757546,10473272
2020-10-28,0.757546,0.776513,0.681174,0.699119,0.699119,11024111
2020-10-29,0.699087,0.722987,0.671182,0.690082,0.690082,7592469
2020-10-30,0.690082,0.702838,0.617700,0.631671,0.631671,11372428
2020-10-31,0.631671,0.654164,0.618958,0.633656,0.633656,3374594
2020-11-01,0.633656,0.655075,0.600100,0.634296,0.634296,5407189
2020-11-02,0.634296,0.646933,0.605267,0.606673,0.606673,16813813
2020-11-03,0.606673,0.612398,0.557470,0.561666,0.561666,1086987
2020-11-04,0.561666,0.564284,0.525964,0.534210,0.534210,6449745
2020-11-05,0.534210,0.716629,0.532935,0.692279,0.692279,19017738
2020-11-06,0.692512,0.762290,0.689152,0.718211,0.718211,14062990
2020-11-07,0.718211,0.787979,0.673463,0.696870,0.696870,14092056
2020-11-08,0.696871,0.827356,0.684995,0.815197,0.815197,11126529
2020-11-09,0.815200,0.926124,0.801328,0.912904,0.912904,16478134
2020-11-10,0.912887,0.970634,0.882732,0.943536,0.943536,21560515
2020-11-11,0.943530,0.989798,0.858221,0.862336,0.862336,14450324
2020-11-12,0.862327,0.877789,0.760163,0.788406,0.788406,13343145
2020-11-13,0.788406,0.913269,0.779707,0.899368,0.899368,20365195
2020-11-14,0.899368,0.903706,0.823743,0.870873,0.870873,17048214
2020-11-15,0.870877,0.884965,0.798024,0.826801,0.826801,23586785
2020-11-16,0.826801,0.898561,0.819853,0.866779,0.866779,16713699
2020-11-17,0.917516,0.980187,0.890022,0.928432,0.928432,39282785
2020-11-18,0.928203,0.942962,0.794183,0.832312,0.832312,33744128
2020-11-19,0.832295,0.875887,0.804866,0.844970,0.844970,10825930
2020-11-20,0.844968,0.940905,0.835271,0.937559,0.937559,27528672
2020-11-21,0.937552,1.202633,0.937552,1.181948,1.181948,86779207
2020-11-22,1.181950,1.181988,1.000547,1.071077,1.071077,27813149
2020-11-23,1.070982,1.205148,1.055370,1.170093,1.170093,40960416
2020-11-24,1.170255,1.290823,1.141368,1.241545,1.241545,50191465
2020-11-25,1.241677,1.298227,1.081461,1.107271,1.107271,26504409
