Date,Open,High,Low,Close,Adj Close,Volume
2019-03-14,6.439715,6.639943,6.353963,6.526642,6.526642,7318172
2019-03-15,6.633174,7.715249,6.432468,7.504351,7.504351,6057301
2019-03-16,7.507990,8.305615,6.694531,7.383882,7.383882,3477393
2019-03-17,7.357443,7.357443,4.727895,4.776164,4.776164,2653565
2019-03-18,4.828242,5.229982,4.828242,5.110341,5.110341,2567201
2019-03-19,5.099978,5.206172,4.794501,4.821883,4.821883,3891084
2019-03-20,4.817675,4.835415,3.871130,4.381395,4.381395,3934421
2019-03-21,4.421520,4.421520,3.585871,3.632948,3.632948,3901346
2019-03-22,3.631108,3.633278,3.285579,3.498546,3.498546,4680808
2019-03-23,3.506196,3.533852,3.337097,3.445516,3.445516,4409797
2019-03-24,3.445452,3.881491,3.428650,3.765243,3.765243,3928803
2019-03-25,3.749194,3.956023,3.664219,3.778341,3.778341,4661791
2019-03-26,3.761046,3.828025,3.482586,3.743903,3.743903,6463760
2019-03-27,3.746467,3.828120,3.596315,3.776921,3.776921,7031767
2019-03-28,3.773730,3.787516,3.482593,3.492386,3.492386,6030320
2019-03-29,3.489571,3.552862,3.408453,3.539837,3.539837,4012185
2019-03-30,3.540854,3.562511,3.379500,3.466585,3.466585,3370884
2019-03-31,3.466585,3.628399,3.440876,3.624326,3.624326,3945618
2019-04-01,3.610077,3.869307,3.595103,3.725183,3.725183,4158589
2019-04-02,3.761943,3.834567,3.610953,3.787197,3.787197,5365043
2019-04-03,3.787197,3.925277,3.663749,3.766952,3.766952,5083727
2019-04-04,3.762898,3.831843,3.703185,3.747295,3.747295,5321012
2019-04-05,3.744652,3.839879,3.673582,3.808443,3.808443,5415803
2019-04-06,3.809262,4.462976,3.770067,4.447355,4.447355,4623456
2019-04-07,4.473976,4.886762,4.341927,4.616361,4.616361,4191619
2019-04-08,4.634588,5.847439,4.615644,5.450052,5.450052,4041530
2019-04-09,5.450052,5.471556,3.803919,3.844098,3.844098,5205817
2019-04-10,3.802624,4.183902,3.670327,3.749783,3.749783,4666417
2019-04-11,3.770163,3.864195,3.483564,3.509813,3.509813,5287619
2019-04-12,3.517530,4.334712,3.482812,4.306536,4.306536,4766004
2019-04-13,4.304441,4.468787,4.168933,4.303037,4.303037,4074112
2019-04-14,4.303037,4.488018,4.124599,4.462687,4.462687,4087545
2019-04-15,4.462687,4.488488,4.285023,4.349615,4.349615,4043798
2019-04-16,4.343881,4.475858,4.273779,4.418631,4.418631,6687900
2019-04-17,4.360103,4.443653,4.286220,4.345788,4.345788,5040510
2019-04-18,4.344939,4.424223,4.271444,4.362478,4.362478,3962743
2019-04-19,4.364134,4.898668,4.296156,4.876117,4.876117,5806997
2019-04-20,4.868496,5.439562,4.857437,5.435583,5.435583,4130471
2019-04-21,5.401989,5.476657,4.651668,5.215819,5.215819,4423092
2019-04-22,5.170827,6.948100,4.242542,4.383469,4.383469,14693545
2019-04-23,4.383469,5.313593,4.114495,4.122131,4.122131,69288593
2019-04-24,4.122131,4.146082,3.096780,3.636693,3.636693,51989410
2019-04-25,3.686125,3.778510,3.227089,3.304498,3.304498,38575975
2019-04-26,3.304626,3.773336,3.193769,3.633435,3.633435,36448158
2019-04-27,3.640851,3.670702,3.394358,3.434102,3.434102,24145210
2019-04-28,3.437665,5.144619,3.397949,4.430445,4.430445,88477197
2019-04-29,4.455837,4.670701,3.697372,3.747837,3.747837,86344115
2019-04-30,3.747669,4.043846,3.747669,3.937070,3.937070,53924933
2019-05-01,3.935184,4.604542,3.918005,4.390124,4.390124,90528588
2019-05-02,4.389838,4.622559,4.229017,4.594658,4.594658,83803871
2019-05-03,4.594914,5.343218,4.567494,5.310845,5.310845,161847461
2019-05-04,5.312576,5.583137,4.793865,5.259992,5.259992,164883490
2019-05-05,5.262257,5.262257,4.789271,4.853705,4.853705,68292315
2019-05-06,4.851187,4.864409,4.520401,4.725382,4.725382,63030290
2019-05-07,4.726506,5.034808,4.613526,4.613526,4.613526,58235752
2019-05-08,4.599731,4.599731,4.269428,4.354839,4.354839,60816520
2019-05-09,4.368481,4.473284,3.533514,3.896407,3.896407,76347151
2019-05-10,3.895256,4.111482,3.691584,3.832914,3.832914,53606617
2019-05-11,3.834794,4.173973,3.732555,4.017780,4.017780,72859937
2019-05-12,4.000135,4.061388,3.710907,3.772999,3.772999,45901518
2019-05-13,3.772999,4.153660,3.759233,3.936923,3.936923,63138772
2019-05-14,3.948255,4.097126,3.825239,3.998229,3.998229,68024772
2019-05-15,3.997045,4.619979,3.989369,4.529068,4.529068,81407357
2019-05-16,4.525318,4.771327,4.037931,4.278079,4.278079,76583313
2019-05-17,4.274661,4.789171,3.947945,4.396434,4.396434,117708947
2019-05-18,4.396434,4.965438,4.346906,4.713704,4.713704,72187066
2019-05-19,4.706187,5.172008,4.648654,4.894266,4.894266,82033956
2019-05-20,4.894266,4.910954,4.542560,4.724707,4.724707,69473607
2019-05-21,4.714468,4.805142,4.550700,4.775559,4.775559,57280911
2019-05-22,4.775559,4.800742,4.357853,4.359100,4.359100,53427877
2019-05-23,4.352471,4.372058,4.132530,4.335001,4.335001,50139060
2019-05-24,4.338859,4.767506,4.282445,4.472953,4.472953,82477989
2019-05-25,4.472953,4.605971,4.345797,4.424701,4.424701,43392192
2019-05-26,4.415332,4.545763,4.285959,4.508584,4.508584,49349632
2019-05-27,4.516544,4.709647,4.516544,4.669845,4.669845,75962593
2019-05-28,4.670136,4.816157,4.508034,4.762040,4.762040,56441565
2019-05-29,4.762040,4.812483,4.514013,4.689263,4.689263,52450620
2019-05-30,4.689263,6.536582,4.685122,5.939967,5.939967,272876291
2019-05-31,5.939967,5.948746,5.277598,5.813033,5.813033,136736662
2019-06-01,5.813685,6.300857,5.692283,5.780049,5.780049,125167747
2019-06-02,5.780049,6.360078,5.604045,6.357302,6.357302,84717218
2019-06-03,6.357302,7.252391,6.075657,6.612277,6.612277,212229620
2019-06-04,6.606974,6.842355,5.814773,5.919371,5.919371,129719691
2019-06-05,5.938307,6.294138,5.691378,6.184025,6.184025,93898670
2019-06-06,6.179598,6.182962,5.679560,6.058681,6.058681,78003590
2019-06-07,6.055585,6.582481,5.939314,6.339338,6.339338,101407237
2019-06-08,6.339460,6.348464,5.981265,6.138371,6.138371,50257190
2019-06-09,6.136793,6.194451,5.707989,5.872391,5.872391,49629337
2019-06-10,5.856109,6.110669,5.766838,6.108678,6.108678,61495899
2019-06-11,6.111080,6.172415,5.807267,5.983658,5.983658,53676891
2019-06-12,5.983714,6.270924,5.900941,6.131582,6.131582,63690195
2019-06-13,6.130770,6.524449,6.076066,6.286849,6.286849,67900352
2019-06-14,6.287564,6.301536,5.946178,6.299399,6.299399,68909619
2019-06-15,6.302372,6.302372,6.123649,6.200674,6.200674,51688148
2019-06-16,6.200674,6.742357,6.158507,6.742357,6.742357,70784039
2019-06-17,6.738472,7.103717,6.475533,7.017254,7.017254,81971935
2019-06-18,7.014988,7.041426,6.498127,6.585988,6.585988,58369435
2019-06-19,6.585861,6.814045,6.581200,6.648994,6.648994,44465850
2019-06-20,6.644633,6.685167,6.310766,6.495861,6.495861,62912913
2019-06-21,6.497544,6.585897,6.358043,6.515581,6.515581,64958852
2019-06-22,6.519209,6.922905,6.505972,6.691569,6.691569,82497465
2019-06-23,6.686858,7.154596,6.631295,6.802726,6.802726,68464562
2019-06-24,6.802726,6.823620,6.542251,6.639572,6.639572,58307067
2019-06-25,6.643969,6.729861,6.479761,6.579536,6.579536,75054340
2019-06-26,6.579536,6.831310,6.199268,6.306945,6.306945,115261168
2019-06-27,6.306945,6.381230,5.307816,5.469208,5.469208,138471353
2019-06-28,5.472049,5.958898,5.381581,5.921550,5.921550,100518290
2019-06-29,5.924733,6.157293,5.621914,6.079551,6.079551,86786958
2019-06-30,6.079892,6.105716,5.413434,5.413434,5.413434,83453264
2019-07-01,5.413434,5.683150,5.156233,5.462667,5.462667,90786814
2019-07-02,5.458837,5.636812,5.106360,5.349033,5.349033,95698664
2019-07-03,5.345705,5.635581,5.331543,5.605543,5.605543,87321335
2019-07-04,5.606880,5.790026,5.490772,5.492154,5.492154,67162234
2019-07-05,5.491083,5.503678,5.354402,5.358716,5.358716,65187397
2019-07-06,5.360368,5.496671,5.269104,5.290814,5.290814,57677233
2019-07-07,5.291587,5.434322,5.206767,5.406420,5.406420,53427683
2019-07-08,5.408764,5.429670,5.138782,5.191361,5.191361,59231943
2019-07-09,5.191457,5.216037,4.919868,5.008280,5.008280,108308605
2019-07-10,4.994657,5.014424,4.229575,4.486176,4.486176,137049792
2019-07-11,4.487552,4.653531,4.086903,4.347078,4.347078,219122792
2019-07-12,4.351506,4.600857,4.227299,4.540363,4.540363,55529845
2019-07-13,4.379996,4.549964,4.151797,4.280136,4.280136,236384357
2019-07-14,4.282012,4.286765,3.818204,3.820683,3.820683,237373610
2019-07-15,3.825202,4.434765,3.576705,4.188706,4.188706,244025539
2019-07-16,4.189852,4.249954,3.554436,3.650944,3.650944,169476663
2019-07-17,3.645372,4.014490,3.572633,3.833144,3.833144,194212503
2019-07-18,3.850549,4.176225,3.704271,4.119473,4.119473,195747961
2019-07-19,4.119473,4.203370,3.835163,3.935252,3.935252,176444671
2019-07-20,3.942098,4.216890,3.940144,4.071420,4.071420,178338930
2019-07-21,4.071420,4.323079,3.998459,4.228221,4.228221,183003172
2019-07-22,4.220597,4.340483,3.904902,3.999825,3.999825,128878764
2019-07-23,4.001848,4.001848,3.713749,3.723969,3.723969,122638990
2019-07-24,3.732592,4.062585,3.624466,3.910559,3.910559,139544674
2019-07-25,3.905249,4.033094,3.811538,3.834995,3.834995,118915409
2019-07-26,3.825569,3.925588,3.714281,3.904642,3.904642,116669870
2019-07-27,3.901704,4.010407,3.565452,3.616745,3.616745,117266920
2019-07-28,3.616745,3.670361,3.501674,3.617754,3.617754,110281449
2019-07-29,3.615105,3.684066,3.549428,3.603481,3.603481,119873997
2019-07-30,3.603825,3.660223,3.515838,3.596430,3.596430,114588229
2019-07-31,3.595006,3.752398,3.595006,3.658560,3.658560,115217467
2019-08-01,3.656573,3.679115,3.477211,3.557588,3.557588,68444005
